match_id,bandeirante_id,name,street_type,street_name,street,city,uf,state
1,1,AFONSO DIAS,RUA,AFONSO DIAS,RUA AFONSO DIAS,SÃO PAULO,SP,SÃO PAULO
2,1,AFONSO DIAS,RUA,AFONSO DIAS,RUA AFONSO DIAS,SOROCABA,SP,SÃO PAULO
3,1,AFONSO DIAS,RUA,AFONSO DIAS GUIMARÃES,RUA AFONSO DIAS GUIMARÃES,JUAZEIRO DO NORTE,CE,CEARÁ
4,1,AFONSO DIAS,RUA,AFONSO DIAS,RUA AFONSO DIAS,CANOAS,RS,RIO GRANDE DO SUL
5,1,AFONSO DIAS,ESTRADA,IVO AFONSO DIAS,ESTRADA IVO AFONSO DIAS,SÃO LEOPOLDO,RS,RIO GRANDE DO SUL
6,1,AFONSO DIAS,RUA,AFONSO DIAS,RUA AFONSO DIAS,GRAVATAÍ,RS,RIO GRANDE DO SUL
7,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,SÃO PAULO,SP,SÃO PAULO
8,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,GUARULHOS,SP,SÃO PAULO
9,2,AFONSO SARDINHA,PASSAGEM,BANDEIRANTE AFONSO SARDINHA,PASSAGEM BANDEIRANTE AFONSO SARDINHA,DIADEMA,SP,SÃO PAULO
10,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO
11,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,SOROCABA,SP,SÃO PAULO
12,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,SÃO ROQUE,SP,SÃO PAULO
13,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,MACAÉ,RJ,RIO DE JANEIRO
14,4,ALEIXO JORGE,RUA,ALEIXO JORGE,RUA ALEIXO JORGE,SÃO PAULO,SP,SÃO PAULO
15,5,ALEIXO LEME,RUA,ALEIXO LEME DOS REIS,RUA ALEIXO LEME DOS REIS,SÃO PAULO,SP,SÃO PAULO
16,5,ALEIXO LEME,RUA,ALEIXO LEME DE FARO,RUA ALEIXO LEME DE FARO,SÃO PAULO,SP,SÃO PAULO
17,8,ALVARO RODRIGUES DO PRADO,RUA,ÁLVARO RODRIGUES DO PRADO,RUA ÁLVARO RODRIGUES DO PRADO,SÃO PAULO,SP,SÃO PAULO
18,9,AMADOR BUENO DA VEIGA,AVENIDA,AMADOR BUENO DA VEIGA,AVENIDA AMADOR BUENO DA VEIGA,SÃO PAULO,SP,SÃO PAULO
19,9,AMADOR BUENO DA VEIGA,RUA,AMADOR BUENO DA VEIGA,RUA AMADOR BUENO DA VEIGA,MOGI DAS CRUZES,SP,SÃO PAULO
20,9,AMADOR BUENO DA VEIGA,AVENIDA,AMADOR BUENO DA VEIGA,AVENIDA AMADOR BUENO DA VEIGA,TAUBATÉ,SP,SÃO PAULO
21,9,AMADOR BUENO DA VEIGA,RODOVIA,AMADOR BUENO DA VEIGA,RODOVIA AMADOR BUENO DA VEIGA,PINDAMONHANGABA,SP,SÃO PAULO
22,13,ANDRÉ DE LEÃO,RUA,ANDRÉ DE LEÃO,RUA ANDRÉ DE LEÃO,SÃO PAULO,SP,SÃO PAULO
23,13,ANDRÉ DE LEÃO,PASSAGEM DE PEDESTRES,BANDEIRANTE ANDRÉ DE LEÃO,PASSAGEM DE PEDESTRES BANDEIRANTE ANDRÉ DE LEÃO,DIADEMA,SP,SÃO PAULO
24,14,ANDRÉ DE ZUNEGA,RUA,ANDRÉ DE ZUNEGA,RUA ANDRÉ DE ZUNEGA,SÃO PAULO,SP,SÃO PAULO
25,14,ANDRÉ DE ZUNEGA,RUA,ANDRÉ DE ZUNEGA,RUA ANDRÉ DE ZUNEGA,SOROCABA,SP,SÃO PAULO
26,15,ANDRÉ FERNANDES,RUA,ANDRÉ FERNANDES,RUA ANDRÉ FERNANDES,SÃO PAULO,SP,SÃO PAULO
27,15,ANDRÉ FERNANDES,RUA,ANDRÉ FERNANDES,RUA ANDRÉ FERNANDES,SANTANA DE PARNAÍBA,SP,SÃO PAULO
28,15,ANDRÉ FERNANDES,RUA,ANDRÉ FERNANDES,RUA ANDRÉ FERNANDES,GUARULHOS,SP,SÃO PAULO
29,15,ANDRÉ FERNANDES,PASSAGEM DE PEDESTRES,BANDEIRANTE ANDRÉ FERNANDES,PASSAGEM DE PEDESTRES BANDEIRANTE ANDRÉ FERNANDES,DIADEMA,SP,SÃO PAULO
30,15,ANDRÉ FERNANDES,RUA,SOLDADO ANDRÉ FERNANDES JÚNIOR,RUA SOLDADO ANDRÉ FERNANDES JÚNIOR,GUARUJÁ,SP,SÃO PAULO
31,15,ANDRÉ FERNANDES,RUA,ANDRÉ FERNANDES,RUA ANDRÉ FERNANDES,FRANCA,SP,SÃO PAULO
32,15,ANDRÉ FERNANDES,RUA,ANDRÉ FERNANDES,RUA ANDRÉ FERNANDES,SOROCABA,SP,SÃO PAULO
33,15,ANDRÉ FERNANDES,RUA,ANDRÉ FERNANDES,RUA ANDRÉ FERNANDES,BELO HORIZONTE,MG,MINAS GERAIS
34,15,ANDRÉ FERNANDES,BECO,ANDRÉ FERNANDES,BECO ANDRÉ FERNANDES,BELO HORIZONTE,MG,MINAS GERAIS
35,15,ANDRÉ FERNANDES,RUA,ANDRÉ FERNANDES DOS REIS,RUA ANDRÉ FERNANDES DOS REIS,ARAGUARI,MG,MINAS GERAIS
36,15,ANDRÉ FERNANDES,RUA,GENERAL ANDRÉ FERNANDES,RUA GENERAL ANDRÉ FERNANDES,NATAL,RN,RIO GRANDE DO NORTE
37,15,ANDRÉ FERNANDES,TRAVESSA,ANDRÉ FERNANDES,TRAVESSA ANDRÉ FERNANDES,MOSSORÓ,RN,RIO GRANDE DO NORTE
38,15,ANDRÉ FERNANDES,RUA,ANDRÉ FERNANDES,RUA ANDRÉ FERNANDES,APARECIDA DE GOIÂNIA,GO,GOIÁS
39,16,ÂNGELO FRANCISCO,RUA,ÂNGELO FRANCISCO,RUA ÂNGELO FRANCISCO,SÃO PAULO,SP,SÃO PAULO
40,16,ÂNGELO FRANCISCO,RUA,JOSÉ ÂNGELO FRANCISCO PREGNOLATO,RUA JOSÉ ÂNGELO FRANCISCO PREGNOLATO,OSASCO,SP,SÃO PAULO
41,16,ÂNGELO FRANCISCO,RUA,SÉRGIO ÂNGELO FRANCISCO MATTIOLI,RUA SÉRGIO ÂNGELO FRANCISCO MATTIOLI,CURITIBA,PR,PARANÁ
42,16,ÂNGELO FRANCISCO,RUA,ÂNGELO FRANCISCO BORATO,RUA ÂNGELO FRANCISCO BORATO,COLOMBO,PR,PARANÁ
43,16,ÂNGELO FRANCISCO,SERVIDÃO,ANGELO FRANCISCO BONOMINI,SERVIDÃO ANGELO FRANCISCO BONOMINI,JARAGUÁ DO SUL,SC,SANTA CATARINA
44,16,ÂNGELO FRANCISCO,RUA,ANGELO FRANCISCO GATTO,RUA ANGELO FRANCISCO GATTO,CHAPECÓ,SC,SANTA CATARINA
45,16,ÂNGELO FRANCISCO,RUA,ÂNGELO FRANCISCO GUERRA,RUA ÂNGELO FRANCISCO GUERRA,CAXIAS DO SUL,RS,RIO GRANDE DO SUL
46,17,ANTÃO LEME DA SILVA,RUA,ANTÃO LEME DA SILVA,RUA ANTÃO LEME DA SILVA,SÃO PAULO,SP,SÃO PAULO
47,18,ANTONIO BICUDO,RUA,ANTÔNIO BICUDO,RUA ANTÔNIO BICUDO,SÃO PAULO,SP,SÃO PAULO
48,18,ANTONIO BICUDO,RUA,ANTÔNIO BICUDO,RUA ANTÔNIO BICUDO,SANTANA DE PARNAÍBA,SP,SÃO PAULO
49,18,ANTONIO BICUDO,RUA,ANTÔNIO BICUDO,RUA ANTÔNIO BICUDO,POÁ,SP,SÃO PAULO
