match_id,criteria,bandeirante_id,name,street_type,street_name,street,city,uf,state
1,NA,1,AFONSO DIAS,RUA,AFONSO DIAS,RUA AFONSO DIAS,SÃO PAULO,SP,SÃO PAULO
2,NA,1,AFONSO DIAS,RUA,AFONSO DIAS,RUA AFONSO DIAS,SOROCABA,SP,SÃO PAULO
3,NA,1,AFONSO DIAS,RUA,AFONSO DIAS GUIMARÃES,RUA AFONSO DIAS GUIMARÃES,JUAZEIRO DO NORTE,CE,CEARÁ
4,NA,1,AFONSO DIAS,RUA,AFONSO DIAS,RUA AFONSO DIAS,CANOAS,RS,RIO GRANDE DO SUL
5,NA,1,AFONSO DIAS,ESTRADA,IVO AFONSO DIAS,ESTRADA IVO AFONSO DIAS,SÃO LEOPOLDO,RS,RIO GRANDE DO SUL
6,NA,1,AFONSO DIAS,RUA,AFONSO DIAS,RUA AFONSO DIAS,GRAVATAÍ,RS,RIO GRANDE DO SUL
7,NA,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,SÃO PAULO,SP,SÃO PAULO
8,NA,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,GUARULHOS,SP,SÃO PAULO
9,NA,2,AFONSO SARDINHA,PASSAGEM,BANDEIRANTE AFONSO SARDINHA,PASSAGEM BANDEIRANTE AFONSO SARDINHA,DIADEMA,SP,SÃO PAULO
10,NA,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,SÃO JOSÉ DOS CAMPOS,SP,SÃO PAULO
11,NA,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,SOROCABA,SP,SÃO PAULO
12,NA,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,SÃO ROQUE,SP,SÃO PAULO
13,NA,2,AFONSO SARDINHA,RUA,AFONSO SARDINHA,RUA AFONSO SARDINHA,MACAÉ,RJ,RIO DE JANEIRO
14,NA,3,ALEIXO JORGE,RUA,ALEIXO JORGE,RUA ALEIXO JORGE,SÃO PAULO,SP,SÃO PAULO
15,NA,4,ALEIXO LEME,RUA,ALEIXO LEME DOS REIS,RUA ALEIXO LEME DOS REIS,SÃO PAULO,SP,SÃO PAULO
16,NA,4,ALEIXO LEME,RUA,ALEIXO LEME DE FARO,RUA ALEIXO LEME DE FARO,SÃO PAULO,SP,SÃO PAULO
17,NA,7,ALVARO RODRIGUES DO PRADO,RUA,ÁLVARO RODRIGUES DO PRADO,RUA ÁLVARO RODRIGUES DO PRADO,SÃO PAULO,SP,SÃO PAULO
