bandeirante_id,name,variations
1,AFONSO DIAS,NA
2,AFONSO SARDINHA,NA
3,AGOSTINHO BARBALHO BEZERA,NA
4,ALEIXO JORGE,NA
5,ALEIXO LEME,NA
6,ALONSO DE GAIA,NA
7,ALONSO PEREZ CALHAMARES,NA
8,ALVARO RODRIGUES DO PRADO,NA
9,AMADOR BUENO DA VEIGA,NA
10,AMARO GAUTO,NA
11,ANDRÉ DE ESCUDEIRO,NA
12,ANDRÉ DE FRIAS TAVEIRA,NA
13,ANDRÉ DE LEÃO,NA
14,ANDRÉ DE ZUNEGA,NA
15,ANDRÉ FERNANDES,NA
16,ÂNGELO FRANCISCO,NA
17,ANTÃO LEME DA SILVA,NA
18,ANTONIO BICUDO,NA
19,ANTONIO CASTANHO DA SILVA,NA
20,ANTONIO CASTILHO,NA
21,ANTONIO CORREIA PINTO DE MACEDO,NA
22,ANTONIO DE ALMEIDA LARA,NA
23,ANTONIO DE ANDRADE,NA
24,ANTONIO DIAS ADORNO,NA
25,ANTONIO DIAS DE OLIVEIRA,NA
26,ANTONIO DOMINGUES,NA
27,ANTONIO GONÇALVES DAVÍDE,NA
28,ANTONIO GONÇALVEZ FIGUEIRA,NA
29,ANTONIO LUIZ GROU,NA
30,ANTONIO NUNES,NA
31,ANTONIO NUNES PINTO,NA
32,ANTONIO PEDROSO DE ALVARENGA,NA
33,ANTONIO PEDROSO DE BARROS,NA
34,ANTONIO PEREIRA,NA
35,ANTONIO PINTO,NA
36,ANTONIO PIRES DE CAMPOS,PAY PIRÁ
37,ANTONIO RAPOSO TAVARES,RAPOSO TAVARES
38,ANTONIO RODRIGUES VELHO,ARAÁ
39,ANTONIO SALEMA,NA
40,ANTONIO SOARES FERREIRA,NA
41,ANTONIO SOARES PAES,NA
42,ANTONIO ZOURO DEL TORO,NA
43,ARTHUR DE SÁ E MENEZES,NA
44,ARTUR PAIS DE BARROS,NA
45,ASCENÇO LUIZ GROU,NA
46,ASCENÇO RIBEIRO,NA
47,ASPILCUETA NAVARRO,NA
48,BALTHAZAR DE GODOY,NA
49,BALTHAZAR FERNANDES,NA
50,BALTHAZAR GONÇALVES,NA
51,BARBOSA CALHEIROS,NA
52,BARTOLOMEU BUENO DA SILVA,ANHANGUERA
53,BARTOLOMEU PAIS DE ABREU,NA
54,BELCHIOR DE PONTES,NA
55,BELCHIOR DIAS CARNEIRO,NA
56,BELCHIOR DIAS MOREYA,MELCHIOR DIAS MOREYA
57,BENTO FERNANDES,NA
58,BENTO PIRES RIBEIRO,NA
59,BERNARDO E GUSMÃO,NA
60,BERNARDO SOARES DE PROENÇA,NA
61,BRAZ CUBAS,NA
62,BRAZ ESTEVES LEME,NA
63,BRAZ GONÇALVES,NA
