bandeirante_id,criteria,name,document_frequency,instance_frequency,keyword
1,BCI1,Afonso Dias,5,14,"Afonso Dias, Affonso Dias"
2,BCI1,Afonso Sardinha,7,26,"Afonso Sardinha, Affonso Sardinha"
3,BCI1,Aleixo Jorge,3,8,Aleixo Jorge
4,BCI1,Aleixo Leme,4,5,Aleixo Leme
5,BCI1,Alonso de Gaia,1,1,Alonso de Gaia
6,BCI1,Alonso Perez Calhamares,1,1,"Alonso Perez Calhamares, Alonso Peres Calhamares"
7,BCI1,Alvaro Rodrigues do Prado,5,29,Alvaro Rodrigues do Prado
8,BCI1,Amador Bueno da Veiga,11,164,"Amador Bueno da Veiga, Amador Bueno"
9,BCI1,Amaro Gauto,2,3,Amaro Gauto
10,BCI1,André de Escudeiro,1,1,André de Escudeiro
11,BCI1,André de Frias Taveira,2,6,André de Frias Taveira
12,BCI1,André de Leão,6,21,"André de Leão, Andre Leão"
13,BCI1,André de Zunega,4,19,André de Zunega
14,BCI1,André Fernandes,9,38,André Fernandes
15,BCI1,Antão Leme da Silva,1,2,"Antão Leme da Silva, Antão Leme"
16,BCI1,Antonio Bicudo,6,23,Antonio Bicudo
17,BCI1,Antonio Castanho da Silva,9,25,"Antonio Castanho da Silva, Antonio Castanho"
18,BCI1,Antonio Castilho,1,1,Antonio Castilho
19,BCI1,Antonio de Almeida Lara,4,16,"Antonio de Almeida Lara, Antonio de Almeida"
20,BCI1,Antonio de Andrade,2,5,Antonio de Andrade
21,BCI1,Antonio Dias Adorno,2,5,Antonio Dias Adorno
22,BCI1,Antonio Dias de Oliveira,2,2,Antonio Dias de Oliveira
23,BCI1,Antonio Domingues,5,12,Antonio Domingues
24,BCI1,Antonio Gonçalves Davíde,1,1,Antonio Gonçalves Davíde
25,BCI1,Antonio Luiz Grou,1,1,"Antonio Luiz Grou, Antonio Luis Grou"
26,BCE2,Antonio Nunes,7,34,Antonio Nunes
27,BCI1,Antonio Nunes Pinto,4,18,Antonio Nunes Pinto
28,BCI1,Antonio Pedroso de Alvarenga,8,29,Antonio Pedroso de Alvarenga
29,BCI1,Antonio Pedroso de Barros,9,50,Antonio Pedroso de Barros
30,BCE2,Antonio Pereira,9,48,Antonio Pereira
31,BCE2,Antonio Pinto,4,11,Antonio Pinto
32,BCI1,Antonio Pires de Campos,9,51,"Antonio Pires de Campos, Pay Pirá"
33,BCI1,Antonio Raposo Tavares,10,224,"Antonio Raposo Tavares, Raposo Tavares"
34,BCI1,Antonio Rodrigues Velho ,2,4,"Antonio Rodrigues Velho , Araá"
35,BCI1,Antonio Salema,2,2,Antonio Salema
36,BCI1,Antonio Soares Ferreira,2,5,Antonio Soares Ferreira
37,BCI1,Antonio Soares Paes,3,6,"Antonio Soares Paes, Antonio Soares Pais"
38,BCI1,Antonio Zouro del Toro,1,1,"Antonio Zouro del Toro, Antonio Zouro"
39,BCI1,Arthur de Sá e Menezes,6,37,"Arthur de Sá e Menezes, Artur de Sá e Menezes, Arthur de Sá, Artur de Sá"
40,BCI1,Artur Pais de Barros,1,1,Artur Pais de Barros
41,BCI1,Ascenço Luiz Grou,1,2,"Ascenço Luiz Grou, Ascenço Luis Grou"
42,BCI1,Ascenço Ribeiro,1,5,Ascenço Ribeiro
43,BCI1,Aspilcueta Navarro,2,3,Aspilcueta Navarro
44,BCI1,Balthazar de Godoy,5,9,"Balthazar de Godoy, Baltazar de Godoy"
45,BCI1,Balthazar Fernandes,5,10,"Balthazar Fernandes, Baltazar Fernandes"
46,BCI1,Balthazar Gonçalves,4,17,"Balthazar Gonçalves, Baltazar Gonçalves"
47,BCI1,Bartolomeu Bueno da Silva,9,176,"Bartolomeu Bueno da Silva, Anhanguera, Bartholomeu Bueno da Silva"
48,BCI1,Bartolomeu Pais de Abreu,3,22,"Bartolomeu Pais de Abreu, Bartolomeu Paes de Abreu, Bartholomeu Paes de Abreu"
49,BCI1,Belchior de Pontes,4,13,Belchior de Pontes
50,BCI1,Belchior Dias Carneiro,3,8,"Belchior Dias Carneiro, Belchior Dias"
51,BCI1,Belchior Dias Moreya,2,20,"Belchior Dias Moreya, Melchior Dias Moreya, Melchior Dias Moreia, Melchior Dias, Belchior Dias"
52,BCI1,Bento Fernandes,4,29,Bento Fernandes
53,BCI1,Bento Pires Ribeiro,6,20,Bento Pires Ribeiro
54,BCI1,Bernardo Soares de Proença,1,3,Bernardo Soares de Proença
55,BCI1,Braz Cubas,6,22,"Braz Cubas, Bras Cubas"
56,BCI1,Braz Esteves Leme,4,12,Braz Esteves Leme
57,BCI1,Braz Gonçalves,5,40,Braz Gonçalves
58,BCI1,Braz Leme,2,2,"Braz Leme, Bras Leme"
59,BCI1,Braz Mendes Paes,1,4,Braz Mendes Paes
60,BCI1,Braz Rodrigues de Arzão,7,31,Braz Rodrigues de Arzão
61,BCI1,Bruza de Espinosa,1,1,Bruza de Espinosa
62,BCI1,Campos Bicudo,7,51,Campos Bicudo
63,BCI1,Carlos Pedroso da Silveira,4,7,Carlos Pedroso da Silveira
64,BCI1,Chrisostomo Alvarez,1,1,Chrisostomo Alvarez
65,BCI1,Christovam de Aguiar,2,5,"Christovam de Aguiar, Crstovão de Aguiar"
66,BCI1,Christovam de Mendonça,3,9,"Christovam de Mendonça, Cristovão de Mendoza, Cristovão de Mendonça"
67,BCI1,Clemente Alvares,6,19,Clemente Alvares
68,BCI1,Cristóvão Pereira de Abreu,2,4,"Cristóvão Pereira de Abreu, Cristovão Pereira"
69,BCI1,Diogo Barbosa do Rego,1,2,Diogo Barbosa do Rego
70,BCI1,Diogo Cão,2,4,Diogo Cão
71,BCI1,Diogo de Oliveira Gago,1,1,Diogo de Oliveira Gago
72,BCI1,Diogo de Onhatte,1,1,Diogo de Onhatte
73,BCI1,Diogo de Quadros,5,16,Diogo de Quadros
74,BCI1,Diogo Fernandes,4,5,Diogo Fernandes
75,BCI1,Diogo Martins,4,10,Diogo Martins
76,BCI1,Diogo Martins Cão,2,4,Diogo Martins Cão
77,BCI1,Diogo Martins Machuca,1,1,Diogo Martins Machuca
78,BCI1,Diogo Ramires,1,1,Diogo Ramires
79,BCI1,Diogo Teixeira de Carvalho,1,1,Diogo Teixeira de Carvalho
80,BCI1,Domingos Barbosa Calheiros,8,43,Domingos Barbosa Calheiros
81,BCI1,Domingos Cordeiro,3,10,Domingos Cordeiro
82,BCI1,Domingos de Brito Peixoto,3,4,Domingos de Brito Peixoto
83,BCI1,Domingos Dias,7,24,Domingos Dias
84,BCI1,Domingos do Prado,5,17,Domingos do Prado
85,BCI1,Domingos Fernandes,6,8,Domingos Fernandes
86,BCI1,Domingos Gonçalves,2,6,Domingos Gonçalves
87,BCI1,Domingos Jorge Velho,10,243,"Domingos Jorge Velho, Jorge Velho"
88,BCI1,Domingos Marques Requeixo,1,1,Domingos Marques Requeixo
89,BCI1,Domingos Pereda,1,1,Domingos Pereda
90,BCI1,Domingos Rodrigues de Carvalho,5,21,Domingos Rodrigues de Carvalho
91,BCI1,Domingos Rodrigues do Prado,3,19,Domingos Rodrigues do Prado
92,BCI1,Domingos Rodrigues Velho,2,2,Domingos Rodrigues Velho
93,BCI1,Duarte Machado,2,2,Duarte Machado
94,BCI1,Estevam Martins,1,1,Estevam Martins
95,BCI1,Estevam Raposo,2,6,"Estevam Raposo, Estevão Raposo Bocarro, Estevão Raposo, Estevam Raposo Bocarro"
96,BCI1,Estevam Ribeiro Bayão Parente,6,36,"Estevam Ribeiro Bayão Parente, Estevão Ribeiro Baião Parente, Estevão Ribeiro Baião, Estevam Ribeyro Bayam Parente, Estevão Bayão, Estevão Ribeiro Bayão"
97,BCI1,Felippe de Véres,1,1,Felippe de Véres
98,BCI1,Fernando de Camargo,9,25,"Fernando de Camargo, Jaguaretê, Fernão de Camargo, o Tigre"
99,BCI1,Fernando de Lencastre,2,16,Fernando de Lencastre
100,BCI1,Fernão Carrilho,2,11,Fernão Carrilho
101,BCI1,Fernão Dias Falcão,4,16,Fernão Dias Falcão
102,BCI1,Fernão Dias Paes Leme,11,305,"Fernão Dias Paes Leme, Fernão Dias, Paes Leme, Fernão Paes Leme, Pais Leme, Fernão Pais Leme, Pais Leme, Fernão Dias Pais Leme"
103,BCI1,Fernão Paes de Barros,8,37,"Fernão Paes de Barros, Paes de Barros, Fernão Pais de Barros"
104,BCI1,Francisco Alvarenga,1,1,Francisco Alvarenga
105,BCI1,Francisco Alvares Correia,1,1,Francisco Alvares Correia
106,BCI1,Francisco Bueno,5,31,Francisco Bueno
107,BCI1,Francisco da Gama,3,8,Francisco da Gama
108,BCE2,Francisco de Almeida,5,12,Francisco de Almeida
109,BCI1,Francisco de Baldim,1,1,Francisco de Baldim
110,BCI1,Francisco de Brito Peixoto,1,3,Francisco de Brito Peixoto
111,BCI1,Francisco de Paiva,5,9,Francisco de Paiva
112,BCI1,Francisco de Proença,6,11,Francisco de Proença
113,BCI1,Francisco de Siqueira,3,5,Francisco de Siqueira
114,BCI1,Francisco Dias de Avila,5,69,"Francisco Dias de Avila, Francisco Dias d'Avila"
115,BCI1,Francisco Dias de Siqueira,4,22,Francisco Dias de Siqueira
116,BCI1,Francisco Dias Pinto,1,1,Francisco Dias Pinto
117,BCI1,Francisco Dias Velho,7,19,Francisco Dias Velho
118,BCI1,Francisco Duarte,2,3,Francisco Duarte
119,BCI1,Francisco Farel,1,1,Francisco Farel
120,BCE2,Francisco Ferreira,1,1,Francisco Ferreira
121,BCI1,Francisco Leme do Prado,2,4,Francisco Leme do Prado
122,BCI1,Francisco Nunes Cubas,2,5,Francisco Nunes Cubas
123,BCI1,Francisco Pedroso Xavier,7,83,Francisco Pedroso Xavier
124,BCE2,Francisco Pereira,4,9,Francisco Pereira
125,BCI1,Francisco Prelo,1,1,Francisco Prelo
